time,symbol,price,volume
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0136
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.017
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0116
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.001
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.53,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.001
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.06,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.05,0.0025
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.05,0.0025
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.05,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.05,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.04,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.04,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.04,0.0025
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.03,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.03,0.0025
